column,type,unit,universe,meaning,missing_policy,provenance
row_id,string,one named GP-president entry in GO61 roster,all12524 printed source entries; no elected-person outcome,SHA256-derived source occurrence key; not a cross-year administrative GP identifier,No missing values permitted except empty quality_flags means no listed flag,Original2011Gazette318PDF3–153; row-level source and geometry fields; parse_heads_2011.py
state,string,one named GP-president entry in GO61 roster,all12524 printed source entries; no elected-person outcome,Tamil Nadu,No missing values permitted except empty quality_flags means no listed flag,Original2011Gazette318PDF3–153; row-level source and geometry fields; parse_heads_2011.py
year,integer,one named GP-president entry in GO61 roster,all12524 printed source entries; no elected-person outcome,2011 notification reference year; not download year,No missing values permitted except empty quality_flags means no listed flag,Original2011Gazette318PDF3–153; row-level source and geometry fields; parse_heads_2011.py
tier,string,one named GP-president entry in GO61 roster,all12524 printed source entries; no elected-person outcome,gp_head,No missing values permitted except empty quality_flags means no listed flag,Original2011Gazette318PDF3–153; row-level source and geometry fields; parse_heads_2011.py
office,string,one named GP-president entry in GO61 roster,all12524 printed source entries; no elected-person outcome,village_panchayat_president,No missing values permitted except empty quality_flags means no listed flag,Original2011Gazette318PDF3–153; row-level source and geometry fields; parse_heads_2011.py
district,string,one named GP-president entry in GO61 roster,all12524 printed source entries; no elected-person outcome,Printed district heading uppercased and trailing District removed; historical spelling retained,No missing values permitted except empty quality_flags means no listed flag,Original2011Gazette318PDF3–153; row-level source and geometry fields; parse_heads_2011.py
union_name_raw,string,one named GP-president entry in GO61 roster,all12524 printed source entries; no elected-person outcome,Printed current/continued union name,No missing values permitted except empty quality_flags means no listed flag,Original2011Gazette318PDF3–153; row-level source and geometry fields; parse_heads_2011.py
union_key,string,one named GP-president entry in GO61 roster,all12524 printed source entries; no elected-person outcome,Within-document grouping; whitespace/case normalized; page143 ALANKULAM/ALANGULAM continuation reconciled,No missing values permitted except empty quality_flags means no listed flag,Original2011Gazette318PDF3–153; row-level source and geometry fields; parse_heads_2011.py
gp_name_raw,string,one named GP-president entry in GO61 roster,all12524 printed source entries; no elected-person outcome,Name extracted from the native name column; no modern geography crosswalk,No missing values permitted except empty quality_flags means no listed flag,Original2011Gazette318PDF3–153; row-level source and geometry fields; parse_heads_2011.py
gp_name,string,one named GP-president entry in GO61 roster,all12524 printed source entries; no elected-person outcome,Native name with whitespace collapsed,No missing values permitted except empty quality_flags means no listed flag,Original2011Gazette318PDF3–153; row-level source and geometry fields; parse_heads_2011.py
source_serial,string,one named GP-president entry in GO61 roster,all12524 printed source entries; no elected-person outcome,Literal printed serial; source has repeats and omissions,No missing values permitted except empty quality_flags means no listed flag,Original2011Gazette318PDF3–153; row-level source and geometry fields; parse_heads_2011.py
reservation_raw,string,one named GP-president entry in GO61 roster,all12524 printed source entries; no elected-person outcome,Literal native category cell; empty string is visually blank source,Unknown printed reservation remains null; raw blank remains empty string,Original2011Gazette318PDF3–153; row-level source and geometry fields; parse_heads_2011.py
reservation,string or null,one named GP-president entry in GO61 roster,all12524 printed source entries; no elected-person outcome,"One of General, General (Women), SC (General), SC (Women), ST (General), ST (Women); null for blank",Unknown printed reservation remains null; raw blank remains empty string,Original2011Gazette318PDF3–153; row-level source and geometry fields; parse_heads_2011.py
caste_reservation,string or null,one named GP-president entry in GO61 roster,all12524 printed source entries; no elected-person outcome,SC/ST caste quota or UR for explicit General categories; no elected-person caste inference,Unknown printed reservation remains null; raw blank remains empty string,Original2011Gazette318PDF3–153; row-level source and geometry fields; parse_heads_2011.py
woman_reserved,boolean or null,one named GP-president entry in GO61 roster,all12524 printed source entries; no elected-person outcome,True if office explicitly women-reserved; false if explicit General within caste/open category; null if blank; not winner sex,Unknown printed reservation remains null; raw blank remains empty string,Original2011Gazette318PDF3–153; row-level source and geometry fields; parse_heads_2011.py
source_path,string,one named GP-president entry in GO61 roster,all12524 printed source entries; no elected-person outcome,Repository-relative original PDF path,No missing values permitted except empty quality_flags means no listed flag,Original2011Gazette318PDF3–153; row-level source and geometry fields; parse_heads_2011.py
source_url,string,one named GP-president entry in GO61 roster,all12524 printed source entries; no elected-person outcome,Official original document URL,No missing values permitted except empty quality_flags means no listed flag,Original2011Gazette318PDF3–153; row-level source and geometry fields; parse_heads_2011.py
source_sha256,string,one named GP-president entry in GO61 roster,all12524 printed source entries; no elected-person outcome,SHA256 of original PDF verified against acquisition manifest,No missing values permitted except empty quality_flags means no listed flag,Original2011Gazette318PDF3–153; row-level source and geometry fields; parse_heads_2011.py
source_page,integer,one named GP-president entry in GO61 roster,all12524 printed source entries; no elected-person outcome,One-based physical PDF page 3–153; printed table footer is two lower,No missing values permitted except empty quality_flags means no listed flag,Original2011Gazette318PDF3–153; row-level source and geometry fields; parse_heads_2011.py
source_column,integer,one named GP-president entry in GO61 roster,all12524 printed source entries; no elected-person outcome,One-based table column in reading order; page79 single column,No missing values permitted except empty quality_flags means no listed flag,Original2011Gazette318PDF3–153; row-level source and geometry fields; parse_heads_2011.py
source_line,integer,one named GP-president entry in GO61 roster,all12524 printed source entries; no elected-person outcome,One-based native extracted line within table column including headings,No missing values permitted except empty quality_flags means no listed flag,Original2011Gazette318PDF3–153; row-level source and geometry fields; parse_heads_2011.py
source_bbox,JSON array string,one named GP-president entry in GO61 roster,all12524 printed source entries; no elected-person outcome,"Union of raw fragment bounding boxes [x0,top,x1,bottom]",No missing values permitted except empty quality_flags means no listed flag,Original2011Gazette318PDF3–153; row-level source and geometry fields; parse_heads_2011.py
coordinate_system,string,one named GP-president entry in GO61 roster,all12524 printed source entries; no elected-person outcome,"PDF points, top-left origin",No missing values permitted except empty quality_flags means no listed flag,Original2011Gazette318PDF3–153; row-level source and geometry fields; parse_heads_2011.py
raw_fragments,JSON array string,one named GP-president entry in GO61 roster,all12524 printed source entries; no elected-person outcome,"Native line text, cells, source line and bbox; multiple fragments for displaced text",No missing values permitted except empty quality_flags means no listed flag,Original2011Gazette318PDF3–153; row-level source and geometry fields; parse_heads_2011.py
union_heading_evidence,JSON object string,one named GP-president entry in GO61 roster,all12524 printed source entries; no elected-person outcome,"Source page, table column, line, text/cells/bbox of current union heading",No missing values permitted except empty quality_flags means no listed flag,Original2011Gazette318PDF3–153; row-level source and geometry fields; parse_heads_2011.py
notification,string,one named GP-president entry in GO61 roster,all12524 printed source entries; no elected-person outcome,GO61 and notification identifier; excludes preceding GO60 amendments,No missing values permitted except empty quality_flags means no listed flag,Original2011Gazette318PDF3–153; row-level source and geometry fields; parse_heads_2011.py
notification_date,ISO date string,one named GP-president entry in GO61 roster,all12524 printed source entries; no elected-person outcome,2011-09-09 printed notification date,No missing values permitted except empty quality_flags means no listed flag,Original2011Gazette318PDF3–153; row-level source and geometry fields; parse_heads_2011.py
listing_scope,string,one named GP-president entry in GO61 roster,all12524 printed source entries; no elected-person outcome,Named source roster including explicit General entries,No missing values permitted except empty quality_flags means no listed flag,Original2011Gazette318PDF3–153; row-level source and geometry fields; parse_heads_2011.py
review_status,string,one named GP-president entry in GO61 roster,all12524 printed source entries; no elected-person outcome,Native extraction with structural and cross-reader audit; no claim every name visually checked,No missing values permitted except empty quality_flags means no listed flag,Original2011Gazette318PDF3–153; row-level source and geometry fields; parse_heads_2011.py
quality_flags,string,one named GP-president entry in GO61 roster,all12524 printed source entries; no elected-person outcome,"Semicolon flags: printed category blank, displaced cell joined, printed union serial anomaly; empty means no listed flag",No missing values permitted except empty quality_flags means no listed flag,Original2011Gazette318PDF3–153; row-level source and geometry fields; parse_heads_2011.py
