level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2480	3509	-1	
2	1	1	0	0	0	417	15	65	45	-1	
3	1	1	1	0	0	417	15	65	45	-1	
4	1	1	1	1	0	417	15	65	45	-1	
5	1	1	1	1	1	417	15	65	45	84.441010	TA
2	1	2	0	0	0	1019	19	132	48	-1	
3	1	2	1	0	0	1019	19	132	48	-1	
4	1	2	1	1	0	1019	19	132	48	-1	
5	1	2	1	1	1	1019	19	132	48	88.116158	MENT
2	1	3	0	0	0	540	22	397	39	-1	
3	1	3	1	0	0	540	22	397	39	-1	
4	1	3	1	1	0	540	22	397	39	-1	
5	1	3	1	1	1	540	22	397	39	95.000000	 
2	1	4	0	0	0	540	25	397	37	-1	
3	1	4	1	0	0	540	25	397	37	-1	
4	1	4	1	1	0	540	25	397	37	-1	
5	1	4	1	1	1	540	25	397	37	95.000000	 
2	1	5	0	0	0	612	41	325	23	-1	
3	1	5	1	0	0	612	41	325	23	-1	
4	1	5	1	1	0	612	41	325	23	-1	
5	1	5	1	1	1	612	41	325	23	95.000000	 
2	1	6	0	0	0	237	47	1181	708	-1	
3	1	6	1	0	0	237	47	1181	708	-1	
4	1	6	1	1	0	237	47	297	128	-1	
5	1	6	1	1	1	237	47	297	128	95.000000	    
4	1	6	1	2	0	237	175	1085	349	-1	
5	1	6	1	2	1	237	175	1085	349	95.000000	  
4	1	6	1	3	0	394	653	1024	102	-1	
5	1	6	1	3	1	394	653	1024	102	95.000000	  
2	1	7	0	0	0	516	162	187	17	-1	
3	1	7	1	0	0	516	162	187	17	-1	
4	1	7	1	1	0	516	162	187	17	-1	
5	1	7	1	1	1	516	162	187	17	0.000000	__-———
2	1	8	0	0	0	231	30	20	403	-1	
3	1	8	1	0	0	231	30	20	403	-1	
4	1	8	1	1	0	231	30	20	403	-1	
5	1	8	1	1	1	231	30	20	403	95.000000	 
2	1	9	0	0	0	287	403	1119	406	-1	
3	1	9	1	0	0	287	403	1112	406	-1	
4	1	9	1	1	0	325	403	119	78	-1	
5	1	9	1	1	1	325	444	18	37	0.000000	,
5	1	9	1	1	2	393	403	51	41	45.442829	iE
4	1	9	1	2	0	287	467	1066	141	-1	
5	1	9	1	2	1	287	505	67	103	13.616962	Je
5	1	9	1	2	2	431	509	185	75	0.000000	maruder
5	1	9	1	2	3	952	462	204	66	9.340448	a
