level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2480	3509	-1	
2	1	1	0	0	0	1501	131	544	29	-1	
3	1	1	1	0	0	1501	131	544	29	-1	
4	1	1	1	1	0	1501	131	544	29	-1	
5	1	1	1	1	1	1501	131	544	29	95.000000	 
2	1	2	0	0	0	380	130	1665	40	-1	
3	1	2	1	0	0	380	130	1665	40	-1	
4	1	2	1	1	0	380	130	1665	40	-1	
5	1	2	1	1	1	380	130	1665	40	95.000000	 
2	1	3	0	0	0	791	294	346	10	-1	
3	1	3	1	0	0	791	294	346	10	-1	
4	1	3	1	1	0	791	294	346	10	-1	
5	1	3	1	1	1	791	294	346	10	95.000000	 
2	1	4	0	0	0	708	478	372	7	-1	
3	1	4	1	0	0	708	478	372	7	-1	
4	1	4	1	1	0	708	478	372	7	-1	
5	1	4	1	1	1	708	478	372	7	95.000000	 
2	1	5	0	0	0	601	534	505	9	-1	
3	1	5	1	0	0	601	534	505	9	-1	
4	1	5	1	1	0	601	534	505	9	-1	
5	1	5	1	1	1	601	534	505	9	95.000000	 
2	1	6	0	0	0	1582	572	338	7	-1	
3	1	6	1	0	0	1582	572	338	7	-1	
4	1	6	1	1	0	1582	572	338	7	-1	
5	1	6	1	1	1	1582	572	338	7	95.000000	 
2	1	7	0	0	0	1504	571	416	10	-1	
3	1	7	1	0	0	1504	571	416	10	-1	
4	1	7	1	1	0	1504	571	416	10	-1	
5	1	7	1	1	1	1504	571	416	10	95.000000	 
2	1	8	0	0	0	1582	573	338	6	-1	
3	1	8	1	0	0	1582	573	338	6	-1	
4	1	8	1	1	0	1582	573	338	6	-1	
5	1	8	1	1	1	1582	573	338	6	95.000000	 
2	1	9	0	0	0	642	567	1278	35	-1	
3	1	9	1	0	0	642	567	1278	35	-1	
4	1	9	1	1	0	642	567	1278	35	-1	
5	1	9	1	1	1	642	567	1278	35	95.000000	 
2	1	10	0	0	0	608	649	569	14	-1	
3	1	10	1	0	0	608	649	569	14	-1	
4	1	10	1	1	0	608	649	569	14	-1	
5	1	10	1	1	1	608	649	569	14	95.000000	 
2	1	11	0	0	0	554	715	174	5	-1	
3	1	11	1	0	0	554	715	174	5	-1	
4	1	11	1	1	0	554	715	174	5	-1	
5	1	11	1	1	1	554	715	174	5	95.000000	 
2	1	12	0	0	0	697	708	579	15	-1	
3	1	12	1	0	0	697	708	579	15	-1	
4	1	12	1	1	0	697	708	579	15	-1	
5	1	12	1	1	1	697	708	579	15	95.000000	 
2	1	13	0	0	0	553	772	736	8	-1	
3	1	13	1	0	0	553	772	736	8	-1	
4	1	13	1	1	0	553	772	736	8	-1	
5	1	13	1	1	1	553	772	736	8	95.000000	 
2	1	14	0	0	0	1601	635	301	6	-1	
3	1	14	1	0	0	1601	635	301	6	-1	
4	1	14	1	1	0	1601	635	301	6	-1	
5	1	14	1	1	1	1601	635	301	6	95.000000	 
2	1	15	0	0	0	1316	632	586	15	-1	
3	1	15	1	0	0	1316	632	586	15	-1	
4	1	15	1	1	0	1316	632	586	15	-1	
5	1	15	1	1	1	1316	632	586	15	95.000000	 
2	1	16	0	0	0	1315	694	581	17	-1	
3	1	16	1	0	0	1315	694	581	17	-1	
4	1	16	1	1	0	1315	694	581	17	-1	
5	1	16	1	1	1	1315	694	581	17	95.000000	 
2	1	17	0	0	0	1301	759	556	14	-1	
3	1	17	1	0	0	1301	759	556	14	-1	
4	1	17	1	1	0	1301	759	556	14	-1	
5	1	17	1	1	1	1301	759	556	14	95.000000	 
2	1	18	0	0	0	1301	823	610	11	-1	
3	1	18	1	0	0	1301	823	610	11	-1	
4	1	18	1	1	0	1301	823	610	11	-1	
5	1	18	1	1	1	1301	823	610	11	95.000000	 
2	1	19	0	0	0	1304	822	607	12	-1	
3	1	19	1	0	0	1304	822	607	12	-1	
4	1	19	1	1	0	1304	822	607	12	-1	
5	1	19	1	1	1	1304	822	607	12	95.000000	 
2	1	20	0	0	0	686	814	1225	32	-1	
3	1	20	1	0	0	686	814	1225	32	-1	
4	1	20	1	1	0	686	814	1225	32	-1	
5	1	20	1	1	1	686	814	1225	32	95.000000	 
2	1	21	0	0	0	1377	886	548	10	-1	
3	1	21	1	0	0	1377	886	548	10	-1	
4	1	21	1	1	0	1377	886	548	10	-1	
5	1	21	1	1	1	1377	886	548	10	95.000000	 
2	1	22	0	0	0	1377	887	548	8	-1	
3	1	22	1	0	0	1377	887	548	8	-1	
